ID|URL|ALEPHIDN|WEBSCHNITT|INTERVALL_H|EBENEN|GATHER_DIR|LAST_ENTRY|LAST_GATHER|LAST_INGEST|TOLOAD_DIR|STATUS|LAST_PID|USR_STAT|ENTRY_DATE|EXTENDED_TEXT|IGNORE_ROBOTS|DEACT_MSG 
31|http://www.rheinahrcampus.de/|HT015306605|J|4320|null|/storage/gather/rlb01_20071001104707|10.10.2007 13:20:20|22.12.2014 08:50:28|22.12.2014 09:01:44|null|S |5938593|AK|null|null|null|null
32|http://www.sv-1882.de/|HT015306624|J|8640|null|/storage/gather/rlb01_20071001104805|15.05.2012 12:22:13|06.11.2011 09:17:25|21.11.2008 09:15:28|Site ex. nicht mehr; Eintrag DA von Kuss, 15.05.2012|GF|2673095|DA|null|null|null|null
33|http://landesmuseum-koblenz.de|HT015306652|J|2160|null|/storage/gather/rlb01_20071001104905|19.12.2011 17:10:28|04.03.2015 06:40:59|04.03.2015 17:20:39|null|S |6040299|AK|null|null|null|null
34|http://www.marketing-by-phone.de/tusbannberscheid/index.php?option=com_frontpage&Itemid=1|null|N|0|null|/storage/gather/rlb01_20071001105105|01.10.2007 10:51:01|01.10.2007 11:09:29|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071001105105|NI|null|AK|null|null|null|null
35|http://www.marketing-by-phone.de/tusbannberscheid/|null|J|8640|null|/storage/gather/rlb01_20071001105205|01.10.2007 10:51:30|01.10.2007 10:57:32|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071001105205|NI|null|AK|null|null|null|null
222|http://www.buga-2011.de/|HT015398182|J|8640|null|/storage/gather/rlb01_20080111113205|11.01.2008 12:06:54|09.12.2014 13:50:49|09.12.2014 17:22:47|null|S |5915189|AK|11.01.2008 11:31:27|null|null|null
37|http://www.tusbannberscheid.de/|null|J|8640|null|/storage/gather/rlb01_20071001105306|01.10.2007 10:52:02|01.10.2007 10:53:07|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20071001105306|NI|null|AK|null|null|null|null
225|http://www.fanfarenzug-wassenach.de|HT015398260|J|8640|null|/storage/gather/rlb01_20080111122705|11.01.2008 12:37:35|09.12.2014 19:10:46|10.12.2014 11:32:02|null|S |5915289|AK|11.01.2008 12:26:26|null|null|null
226|http://www.dr-fotos.de|HT015402680|J|8640|null|/storage/gather/rlb01_20080111123006|16.01.2008 13:37:18|05.12.2014 15:30:32|05.12.2014 15:42:01|null|S |5902431|AK|11.01.2008 12:30:01|null|null|null
341|http://www.koblenz-ost.de/|HT015582516|J|8640|null|/storage/gather/rlb01_20080701124006|01.07.2008 12:39:28|31.05.2014 16:00:32|05.06.2014 11:52:05|null|S |5631437|AK|01.07.2008 12:39:28|null|null|null
404|http://www.mainzerring.de|null|J|4320|null|/storage/gather/rlb01_20081210081108|10.12.2008 08:10:06|10.12.2008 08:15:46|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20081210081108|NI|null|AK|10.12.2008 08:10:06|null|null|null
402|www.deichinfo.de|HT015767350|J|8640|null|/storage/gather/rlb01_20081203153108|05.12.2008 08:09:29|03.11.2014 19:30:29|04.11.2014 16:03:26|null|S |5843574|AK|03.12.2008 15:30:31|null|null|null
403|www.westerwaldkreis.de/holztag/|HT015767366|J|17280|6|/storage/gather/rlb01_20081203153208|18.06.2014 13:09:12|18.06.2014 13:20:30|18.06.2014 13:32:10|null|S |5647916|AK|03.12.2008 15:31:38|N|N|null
422|http://demokratiegeschichte.eu/|HT015844763|J|2160|null|/storage/gather/rlb01_20090225134408|09.03.2009 08:43:47|17.02.2015 02:10:36|17.02.2015 02:26:30|null|S |6019430|AK|25.02.2009 13:43:18|null|null|null
561|http://www.gleichstellungsbeauftragte-rlp.de/|null|J|4320|null|/storage/gather/rlb01_20090528092109|28.05.2009 09:20:10|28.05.2009 09:42:47|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20090528092109|NI|null|AK|28.05.2009 09:20:10|null|null|null
543|http://www.bundeswehr-wirtschaft.de/|null|J|8640|null|/storage/gather/rlb01_20090525151509|25.05.2009 15:14:16|25.05.2009 15:15:13|null|/exlibris/dtl/j3_1/digitool/home/profile/units/RLB01/load/toload_rlb01_20090525151509|NI|null|AK|25.05.2009 15:14:16|null|null|null
581|http://www.rlp-ruanda.de/|HT015968063|J|4320|6|/storage/gather/rlb01_20090604121109|27.05.2013 10:07:59|17.12.2014 17:10:37|30.12.2014 11:43:12|null|S |5941875|AK|04.06.2009 12:10:03|null|null|null
661|www.dirx.de|HT015986745|N|null|null|/storage/gather/rlb01_20091201182008|01.12.2009 18:19:46|01.12.2009 18:20:17|01.12.2009 18:21:30|null|S |3336527|AK|01.12.2009 18:19:46|null|null|null
